90000228244291;90001817899701,90001817642670,90001818620900,90001818205431,114024751,90001818620900;90000578653720,90000219814211,90000261317751,90001377726160;90000260791121,90000260854960,90000260855001,90000260854960,90001814982940;4995410,5092991,5093031,4525701,5093000,5093021,5092991;
5448001;7220701,7220701,5774430;90001896102320,90001895971271,90001896102320,4414970;90001814169670,90001814169631,90001814169670,90001814637560;90001815436220,90000895905620,90001815436261,90001815262520,90001815436220;
90000995887111;90001820259560,90001820794850,90001819831191,90001570745081,90001820259560;90001207868361,90001207774760,90001207774760,90001208035721,90001207948560;90000246534540,90000246367701,90000246367981,90000246367701,90000246611351,90000246368540;90000815736620,90000815736581,90000815728251,90000815736581,90001432736440,347685610;
90000257248651;6856520,6856421,140954251,328909090,6856511,6856520;90001821465040,90000261372141,90001821189281,90001820989591,90001821465040;90000788432200,490659140,90002002807130;748039850,748039860,748039871,748039871,748039820,748039840;
126457161;90001823176890,90001824008801,90001823082060,90001823754081,90001823176890;300159781,320929651,6220730;1027901570,90001207912940,1027901541,90001924102771,90000271395391,1027901570;90000266045911,90000261189200,6178690,859741781,90000265969550,90000266045911;
760905291;90001077512200,90001077428761,90001077270601,90001077428440,90001077428761;6830341,90001801043131,90000284308031;90000828094170,90000310879871,90000828233441,90000828094170;320928131,90001816650580,6240880,6188920;
90000891282041;128572891,128572901,128572880,128572860,128572870,128572891;90001598128091,734998200,90001207675851,90001598495110,90001598931260,90001598128091;90000600997141,1106130070,90001777141000,90001410531060,90001410347950;90001818714170,90001816876211,90001818346811,90001818346811,90001818540890;
90001207893121;90001814284160,90001814637601,90001814092950,90001814169631,90001814183080,90001814637601;90001820553840,90001820831201,90001820396550,1008908141,90001820553840;90001817614070,1117225501,90001818229401,90001818077101,90001818077061,90001817614070;90001959716500,90001959716500,90001957313831;
4898341;90001815897210,90001953144450,90001815926401,622699161,90000891620161,90001815897210,90001816158571;90001817878301,90001817366430,90001818233601,90001818233601;90000220964390,90000220740041,90001813366531,90001813366531,90001813559490,90001813811881;6240470,6234611,90001811395451,6138741,90001823677811,90001811395451,90001811958650;
90000288301600;90000229258691,90000229258691,90000229339230,90000229199571;90000263462211,90001211720621,90000263462211,90001211645501;6102059640,90001673817211,6022067031,90001674160030,90001673817211;320930681,90000816573521,90000816515221;
333169000;90000578556531,90000623161371,90000578556531,90000578595710;90001822079130,6031869711,90001821436380,90001821608901,90001822079130;90000259627460,4468561,4453261,90000259627460,90000259445021,90000259627301;90000253393931,90000253541050,90000253393931,90001814549701,90000253541090;
90000244744580;90000255177630,90000255374071,90000255275950,90000255177630;90001130400420,90001129993751,90001208356381,90001130403981,90001129993751;90000310450480,90000310450491,90002002752401,90000313333691,90000310450480,90000310376340;90000975652651,90000975560000,90000975541251,90000975541251;
152544931;5927541,5927321,622587681;701991291,5001811531,6101800031;6328190,6228110,6361010;90001778018060,90001776825041,90001777741560,90001777502290;
90000438306700;5092943340,836177171,6175221,836177180,836177171;90001816977881,90001816950300,90001817318881,90001816950380,90001816977881;90002059978910,90002056902251,90002057002770,90002059978881,90002057002770;90000256284940,90000256519781,90000256389721,90000256284940;
90000401076360;90000245587590,90000245837031,90000245749510,90000245587431,90000245749550,90000245749751,90000245749510;90001617595340,90001617839361,90001599134900,90001598440931,90001617595340;90000810683380,90001350589360,6139840;748120741,90001817119710,748120831,748120820,748120831,6719270,6733970,90001812843011;
6139421;90000249446170,90000249446170,90000249560011,90000249308761;400407710,6107361210;90001178838101,90001178588420,90001178838101,90001178485220;90001819696260,90001819980931,90001819610990,90001819980931,90001820242060,90001819966820;
734997650;90001824051131,90001823965080,90001824128560,5407051,90001824128560,5407060;6284220,6269881,90001006186700,6284220,90001820766401;90000812746051,90000812746010,90000812842560,90000812842520,90000812842551,90000812746010;90001435221821,90001435044721,90001435044721,134742160,4655011;
4286610;90001813228200,90001813228241,90001813207181,90001813134960,155886071,90001813228200,90001812660070;7009711,7009240,7009761,7009720,7009711;6700001,632932380,90001433122931,90001433235620;836177750,836177761,836177771,836174491,836177750,90001942258670,5541321;
328909081;90000228229231,90001693426960,90000592265640;748034561,748034340,748034540,748034561,748034570,748034331;90001428265841,90001428092041,90001428092041;90001134315621,90000685301291,90001134385720,445958401,90001134385720;
90001820396960;1106129171,1106128961,1106129160,1106129160,1106129211,1106129081;6119571,5625500,5625451,5625440,6224711,6119571,6224880;400402711,400402730,400402751;402486421,90001212006460,90000245782650,90000245782650,90000245700761;
333167561;735076280,735076261,90001207750330,735076280,90000253511131,90001207978560;5011742111,5041740041,5001753080,5041740041,6061745631,5081755510;90001811256111,90001812303170,90001811160031,90001811861600,6270590,90001812303170,6270581;5603731,5603701,5603690,6275351,6188901,5603701;
90001812658000;782663530,782665520,782663530,782665581;90000260915050,90001251763880,90000261059030,90000260811330;6749820,6749751,6859830,6749811,6749930,6749820;90000627103930,90000626949851,90001133982370,90000627103930,445959211;
90000272282531;90001822128051,90001822111281,90001822040411,90001821485170,90001822111281,90001821862120;90000229027871,90000229027850,90001813696791,90000229097641,90000229109110,90000229138381,90000229027850;90001823913500,90001823728340,90001823455461,90001823728340,90001823273391,90001824174241;1116128441,1116128411;
341670501;90001817943431,90001818150731,90001818636980,90001817943431,90001818015151;3928230,4379460;4988720,90001819772750,782667061,782667061,782667070,782667051;90001817929860,90001818047491,90001817929860,90001818240210;
